x   1	EchoData
x   2	Home
x   3	MoveAbsolute
x   4	MoveAtConstantSpeed
x   5	MoveRelative
x   6	MoveToStoredPosition
    7	ReadOrWriteMemory
    8	readReplies
    9	Renumber
    10	Reset
    11	RestoreSettings
    12	ReturnCurrentPosition
    13	ReturnDeviceId
    14	ReturnFirmwareVersion
    15	ReturnPowerSupplyVoltage
    16	ReturnSetting
    17	ReturnStatus
    18	ReturnStoredPosition
    19	sendWaitForMultipleReplies
    20	sendWaitForMultipleRepliesFilter
    21	sendWaitForReply
    22	SetAcceleration
    23	SetAliasNumber
    24	SetCurrentPosition
    25	SetDeviceMode
    26	SetHoldCurrent
    27	SetHomeOffset
    28	SetHomeSpeed
    29	SetLockState
    30	SetMaximumPosition
    31	SetMaximumRelativeMove
    32	SetMicrostepResolution
    33	SetRunningCurrent
    34	SetTargetSpeed
    35	Stop
    36	StoreCurrentPosition
    37	UpdateDeviceList
